회사명,행정기관명,설립구분명,용지면적(㎡),건축면적(㎡),종업원수,공장규모구분명,공장등록일,용도지역명,지목명,업종명,업종코드,생산품정보,전화번호,정제우편번호,정제도로명주소,정제지번주소,위도,경도
(주)서울식연,경기도 성남시,일반,298.2,140.39,8,소기업,20100526,도시지역 / 상업지역 / 근린상업지역,대,천연 및 혼합조제 조미료 제조업 외 3 종,"10742, 10749, 20321, 20322","복합조미료, 식품첨가물, 살균제",031-704-4927,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 309호,37.4038895,127.1503976
(주)세한전동,경기도 성남시,일반,685.521,464.527,28,소기업,20160525,도시지역 / 상업지역 / 근린상업지역,대,동력식 수지공구 제조업,29194,디지털토크드라이버,031-701-9855,13511,경기도 성남시 분당구 판교로 723,"경기도 성남시 분당구 야탑동 148번지 분당테크노파크B동 B동 205,206,508-2호",37.40563669,127.1529544
(주)셀텔레콤,경기도 성남시,일반,75,40,4,소기업,20000621,도시지역 / 상업지역 / 근린상업지역,대,유선 통신장비 제조업 외 1 종,"26410, 26429",이동통신용중계기,031-701-2035,13504,경기도 성남시 분당구 매화로 56,경기도 성남시 분당구 야탑동 290-1번지 중탑현진원빌딩 204호,37.41247567,127.1341983
(주)스펙스,경기도 성남시,일반,596,476,56,소기업,20221219,도시지역 / 상업지역 / 근린상업지역,대,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 7 종","27211, 27216, 27219, 28909, 29175, 29176, 29199, 31114","OMD, TPM",031-706-5211,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148번지 분당테크노파크 B동 703호,37.40563669,127.1529544
(주)실피드,경기도 성남시,일반,196.205,301,9,소기업,20160223,도시지역 / 상업지역 / 근린상업지역,대,인형 및 장난감 제조업,33401,"피규어, 모형 제품",070-4006-5081,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 404호,37.4038895,127.1503976
(주)썬피플,경기도 성남시,일반,35.1,35.1,2,소기업,20011213,도시지역 / 주거지역 / 제1종일반주거지역,대,"치약, 비누 및 기타 세제 제조업",20422,살균세정제,02-578-2372,13504,경기도 성남시 분당구 야탑로139번길 18-15,경기도 성남시 분당구 야탑동 295-6번지,37.41133405,127.1352096
(주)씨브이티일렉트로닉스코리아,경기도 성남시,일반,149,120,17,소기업,20230608,도시지역 / 상업지역 / 근린상업지역,대,컴퓨터 모니터 제조업 외 5 종,"26310, 26322, 26329, 26519, 28423, 28429","인터랙티브 화이트보드, 영상정보 디스플레이장치",031-781-0824,13511,경기도 성남시 분당구 판교로 697,경기도 성남시 분당구 야탑동 150번지 분당테크노파크 A동 502호,37.40550474,127.1510002
(주)씽스체인,경기도 성남시,일반,95,10.3,3,소기업,20200129,도시지역 / 상업지역 / 근린상업지역,대,기타 무선 통신장비 제조업,26429,"정보통신기기, 사물인터넷기기",070-4464-8324,13510,경기도 성남시 분당구 판교로 744,경기도 성남시 분당구 야탑동 145번지 분당테크노파크 C동 604호,37.40462453,127.1551398
(주)아리아전자,경기도 성남시,일반,292.43,172.58,11,소기업,19981216,도시지역 / 상업지역 / 일반상업지역,공장용지,유선 통신장비 제조업,26410,통신음향,031-781-4055,13504,경기도 성남시 분당구 벌말로 41,경기도 성남시 분당구 야탑동 275-4번지,37.41165842,127.1381008
(주)아와소프트,경기도 성남시,일반,210,10,55,소기업,20220816,도시지역 / 상업지역 / 일반상업지역,대,"레이더, 항행용 무선기기 및 측량기구 제조업 외 2 종","26410, 27211, 31312","무선 측량기구 및 무인항공기, 다중통신장비",070-4355-5387,13506,경기도 성남시 분당구 성남대로916번길 11,경기도 성남시 분당구 야탑동 366-4번지 글라스타워 205호,37.41086672,127.1298556
(주)아이올,경기도 성남시,창업,153.72,100,6,소기업,20200904,도시지역 / 상업지역 / 근린상업지역,대,침구 및 관련제품 제조업,13221,"아기이블, 베게 등",031-698-3081,13511,경기도 성남시 분당구 판교로 697,경기도 성남시 분당구 야탑동 150번지 분당테크노파크 E동 6층 601호,37.40550474,127.1510002
(주)아이클,경기도 성남시,일반,206.612,166.312,3,소기업,20160517,도시지역 / 상업지역 / 근린상업지역,대,일반용 전기 조명장치 제조업,28422,LED전기스텐드,031-702-7841,13511,경기도 성남시 분당구 판교로 697,경기도 성남시 분당구 야탑동 150번지 분당테크노파크 A동 3층 307호,37.40550474,127.1510002
(주)에스디에스산업,경기도 성남시,창업,301.82,210.2,7,소기업,20221006,도시지역 / 상업지역 / 근린상업지역,"대, 대",그 외 기타 전자부품 제조업,26299,방열제품,031-757-6076,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 E동 4층 409-1호 외 1필지,37.4041366,127.1516619
와인드와이어(주),경기도 성남시,일반,227.65,150.3,6,소기업,20211014,도시지역 / 상업지역 / 근린상업지역,대,신발 부분품 제조업,15220,신발부분품(신발끈 와이어),031-707-2562,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148번지 분당테크노파크 B동 510호,37.40563669,127.1529544
우성전자(주),경기도 성남시,일반,301.82,171.82,43,소기업,19990413,도시지역 / 상업지역 / 근린상업지역,대,전자저항기 제조업,26292,"서지압서버,RF",031-706-8766,13510,경기도 성남시 분당구 판교로 744,경기도 성남시 분당구 야탑동 145번지 분당테크노파크 C동 407호,37.40462453,127.1551398
우성전자(주),경기도 성남시,일반,301,161,14,소기업,19940723,도시지역 / 상업지역 / 근린상업지역,대,전자저항기 제조업,26292,저항기,031-706-8766,13510,경기도 성남시 분당구 판교로 744,경기도 성남시 분당구 야탑동 145번지 분당테크노파크 C동 507호,37.40462453,127.1551398
원일전자(주),경기도 성남시,일반,490.92,385.92,10,소기업,20060508,도시지역 / 상업지역 / 근린상업지역,대,유선 통신장비 제조업,26410,DVD,031-706-6134,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148번지 분당테크노파크 B동 702호,37.40563669,127.1529544
유진산업(주),경기도 성남시,일반,148.11,119.11,5,소기업,20060904,도시지역 / 상업지역 / 근린상업지역,대,그 외 기타 전자부품 제조업,26299,콘덴서부품,031-781-2631,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148번지 분당테크노파크 B동 303호,37.40563669,127.1529544
인텔릭스(주),경기도 성남시,창업,898.22,250.9,134,소기업,20230626,도시지역 / 상업지역 / 근린상업지역,"대, 대",컴퓨터 제조업,26310,특수목적용 컴퓨터(방산용) 하드웨어,031-606-0150,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 외 1필지 분당테크노파크 E동 801호,37.4041366,127.1516619
제노시스,경기도 성남시,일반,298.2,112,14,소기업,20220803,도시지역 / 상업지역 / 근린상업지역,대,방송장비 제조업 외 7 종,"26310, 26329, 26410, 26421, 26429, 26519, 26529, 28909",CCTV카메라,031-713-2339,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 E동 508호,37.4041366,127.1516619
제닉스(주),경기도 성남시,일반,300.61,196.66,5,소기업,20210305,도시지역 / 상업지역 / 근린상업지역,대,그 외 기타 특수목적용 기계 제조업,29299,산업용 잉크젯 프린트,031-702-2600,13511,경기도 성남시 분당구 판교로 697,경기도 성남시 분당구 야탑동 150번지 분당테크노파크 A동 509호,37.40550474,127.1510002
주식회사 고일플러스,경기도 성남시,일반,332.64,94.89,12,소기업,20200907,도시지역 / 상업지역 / 근린상업지역,대,방송장비 제조업 외 3 종,"26421, 26519, 26529, 28422","방송장비, 조명기기",031-703-0070,13511,경기도 성남시 분당구 판교로 697,경기도 성남시 분당구 야탑동 150번지 분당테크노파크 A동 8층 805호,37.40550474,127.1510002
주식회사 디텍,경기도 성남시,일반,328.65,150,42,소기업,20200915,도시지역 / 상업지역 / 근린상업지역,대,기억장치 제조업 외 3 종,"26321, 26421, 27214, 28423","차량용 DVR, 블랙박스",031-706-2514,13505,경기도 성남시 분당구 매화로 53,경기도 성남시 분당구 야탑동 382-2번지 정민빌딩 3층,37.41229358,127.1336116
주식회사 브레인유,경기도 성남시,일반,36,36,12,소기업,20210205,도시지역 / 상업지역 / 일반상업지역,대,전기식 진단 및 요법 기기 제조업,27112,CAI(마취심도 측정기),031-707-1788,13506,경기도 성남시 분당구 야탑로105번길 7,경기도 성남시 분당구 야탑동 366-7번지 한주빌딩 3층,37.41050738,127.1302416
주식회사 사람사랑,경기도 성남시,일반,203.31,203.31,22,소기업,20171214,도시지역 / 상업지역 / 근린상업지역,대,그 외 기타 봉제의복 제조업 외 6 종,"14111, 14112, 14120, 14191, 14192, 14199, 14300",특수의복,031-263-7011,13510,경기도 성남시 분당구 판교로 744,경기도 성남시 분당구 야탑동 145번지 분당테크노파크 C동 207호,37.40462453,127.1551398
주식회사 소토코리아,경기도 성남시,일반,0,99.7,5,소기업,20190614,도시지역 / 상업지역 / 근린상업지역,대,기체 여과기 제조업,29174,"공기정화기, 공기살균기",031-602-2932,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크E동 509-1호,37.4041366,127.1516619
주식회사 엘엔테크놀러지,경기도 성남시,일반,0,264.46,0,소기업,20230103,도시지역 / 상업지역 / 근린상업지역,대,경성 인쇄회로기판 제조업,26222,PCB 기판 부품 실장 제품,070-8620-8090,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 E동 7층 703-1호,37.4041366,127.1516619
주식회사 우명건설,경기도 성남시,일반,0,60,4,소기업,20190427,도시지역 / 상업지역 / 근린상업지역,대,그 외 기타 분류 안된 비금속 광물제품 제조업 외 1 종,"22291, 23999",미끄럼방지,031-701-4551,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148번지 분당테크노파크B동 제6층 제604-4호,37.40563669,127.1529544
주식회사 지오티,경기도 성남시,일반,148.603,55.2,4,소기업,20221024,도시지역 / 상업지역 / 근린상업지역,대,기타 무선 통신장비 제조업,26429,무선랜,031-703-6201,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148번지 분당테크노파크B동 804-2,37.40563669,127.1529544
주식회사 코사바이오,경기도 성남시,일반,0,66.5,10,소기업,20210305,도시지역 / 상업지역 / 근린상업지역,대,"물질 검사, 측정 및 분석기구 제조업",27213,바이오 및 과학기자재,031-702-6997,13511,경기도 성남시 분당구 판교로 697,경기도 성남시 분당구 야탑동 150번지 분당테크노파크 A동 5층 506-1호,37.40550474,127.1510002
주식회사 큐바이오,경기도 성남시,일반,147.28,103.1,5,소기업,20201014,도시지역 / 상업지역 / 근린상업지역,대,그 외 기타 의료용 기기 제조업,27199,수송배지(UTM),031-709-9207,13510,경기도 성남시 분당구 판교로 744,경기도 성남시 분당구 야탑동 145번지 분당테크노파크 C동 5층 504호,37.40462453,127.1551398
지노브라인드,경기도 성남시,일반,91.63,15.17,3,소기업,20120105,도시지역 / 녹지지역 / 자연녹지지역,대,커튼 및 유사제품 제조업,13223,"커튼,브라인드",15447401,13515,경기도 성남시 분당구 판교로610번길 23,경기도 성남시 분당구 야탑동 495-17번지 지하1층 101호,37.40713444,127.1384051
지오미디어,경기도 성남시,일반,148.6,100,2,소기업,20200129,도시지역 / 상업지역 / 근린상업지역,대,전시 및 광고용 조명장치 제조업,28423,"LED전광판, MCU 외",031-708-2225,13511,경기도 성남시 분당구 판교로 697,경기도 성남시 분당구 야탑동 150번지 분당테크노파크 A동 7층 707-1,37.40550474,127.1510002
진정패션,경기도 성남시,일반,0,100,20,소기업,19941130,도시지역 / 상업지역 / 근린상업지역,대,여자용 겉옷 제조업,14112,여성용정장,031-703-3399,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 408호,37.4038895,127.1503976
충남제약(주),경기도 성남시,일반,149.1,60,8,소기업,19960610,도시지역 / 상업지역 / 근린상업지역,대,의료용품 및 기타 의약 관련제품 제조업,21300,녹용,031-703-9034,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148번지 분당테크노파크 B동 902호,37.40563669,127.1529544
케이페스트주식회사,경기도 성남시,일반,285.16,83,3,소기업,20210325,도시지역 / 상업지역 / 근린상업지역,대,비디오 및 기타 영상기기 제조업,26519,차량일방통행 안전지킴이,070-4128-0910,13508,경기도 성남시 분당구 야탑로 247,경기도 성남시 분당구 야탑동 175-2번지 지현프라자 4층,37.40721187,127.1461222
코리아랩텍,경기도 성남시,일반,0,36,1,소기업,20210112,도시지역 / 상업지역 / 근린상업지역,대,기타 광학기기 제조업,27309,"현미경, 형광 이미징 시스템",031-702-3661,13511,,경기도 성남시 분당구 야탑동 150번지 분당테크노파크 A동,37.40550474,127.1510002
코츠테크놀로지(주),경기도 성남시,일반,292.623,450.92,11,소기업,20160704,도시지역 / 상업지역 / 근린상업지역,대,컴퓨터 제조업 외 1 종,"26299, 26310","전시기, 검퓨터주변기기",031-702-1665,13510,경기도 성남시 분당구 판교로 744,경기도 성남시 분당구 야탑동 145번지 분당테크노파크 C동 601호,37.40462453,127.1551398
태극IBA(주),경기도 성남시,일반,298.2,200,17,소기업,20080418,도시지역 / 상업지역 / 근린상업지역,"대, 대",배전반 및 전기 자동제어반 제조업 외 8 종,"26410, 26429, 27213, 27215, 28114, 28119, 28123, 28302, 29174","자동제어기기,유선통신장치",031-705-8566,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 외 1필지 분당테크노파크E동 702호,37.4041366,127.1516619
태극기마켓 주식회사,경기도 성남시,일반,147.67,62.67,0,소기업,20210604,도시지역 / 상업지역 / 근린상업지역,대,기타 직물제품 제조업,13229,태극기, ,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 4층 409-1호,37.4038895,127.1503976
미라클스코프(주),경기도 성남시,일반,92.094,55.86,7,소기업,20210929,도시지역 / 상업지역 / 근린상업지역,대,"물질 검사, 측정 및 분석기구 제조업 외 1 종","27199, 27213",전자연성내시경,070-4178-0220,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크D동 310-2호,37.4041366,127.1516619
비젼아이티에스(주),경기도 성남시,일반,330,330,11,소기업,20220215,도시지역 / 상업지역 / 근린상업지역,대,방송장비 제조업 외 4 종,"26421, 26529, 28423, 28903, 31202","무인교통감시장치, 주차관제장치",070-7117-5001,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 606호,37.4038895,127.1503976
산주 광학,경기도 성남시,일반,561.11,238.91,8,소기업,20140629,도시지역 / 상업지역 / 근린상업지역,대,기타 광학기기 제조업,27309,"쌍안경, 망원경",031-698-3160,13516,경기도 성남시 분당구 판교로 700,"경기도 성남시 분당구 야탑동 151번지 분당테크노파크E동 E동 502, 505호",37.4041366,127.1516619
서일,경기도 성남시,일반,149.1,149.1,5,소기업,20220816,도시지역 / 상업지역 / 근린상업지역,대,수동식 식품 가공기기 및 금속 주방용기 제조업 외 2 종,"25992, 29171, 29250",금속류,031-707-9486,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 1층 102호,37.4038895,127.1503976
선한이웃작업장,경기도 성남시,일반,301.82,197.32,31,소기업,20200601,도시지역 / 상업지역 / 근린상업지역,대,기타 편조의복 액세서리 제조업,14419,"장갑, 임가공",031-718-5005,13511,경기도 성남시 분당구 판교로 723,"경기도 성남시 분당구 야탑동 148번지 분당테크노파크B동 B동 803호, 803-1호",37.40563669,127.1529544
(주)현대그린텍,경기도 성남시,일반,149.5,40,7,소기업,20120409,도시지역 / 상업지역 / 근린상업지역,대,농업 및 임업용 기계 제조업,29210,예초기 안전판,031-709-6411,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 E동 1층 103호,37.4041366,127.1516619
(주)휴바이오메드,경기도 성남시,일반,300,75,13,소기업,20220426,도시지역 / 상업지역 / 근린상업지역,대,그 외 기타 의료용 기기 제조업,27199,비이식형혈관접속용기구,031-609-1212,13516,경기도 성남시 분당구 판교로 700,"경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 701-1, 701-2호",37.4038895,127.1503976
뉴런소프트,경기도 성남시,일반,64,22,4,소기업,20040429,도시지역 / 주거지역 / 제2종일반주거지역,대,컴퓨터 제조업,26310,뉴런박스,031-709-5632,13504,경기도 성남시 분당구 벌말로39번길 9-1,경기도 성남시 분당구 야탑동 303-4번지,37.41148428,127.1371638
뉴브로드테크놀러지(주),경기도 성남시,일반,0,294,15,소기업,20220928,도시지역 / 상업지역 / 근린상업지역,대,유선 통신장비 제조업 외 4 종,"26310, 26322, 26329, 26410, 28119","통신장비, 모니터, 컴퓨터",031-8039-5020,13516,경기도 성남시 분당구 판교로 700,"경기도 성남시 분당구 야탑동 151번지 분당테크노파크E동 E동 309, 308-2호",37.4041366,127.1516619
대동화학,경기도 성남시,일반,147.61,147.61,3,소기업,20080228,도시지역 / 상업지역 / 근린상업지역,대,플라스틱 접착처리 제품 제조업 외 1 종,"22291, 22292",보온마감테이프,031-704-8848,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 2층 207호,37.4038895,127.1503976
디브이에스코리아(주),경기도 성남시,일반,1432.07,413.22,32,소기업,20130812,도시지역 / 상업지역 / 근린상업지역,"대, 대, 대",기억장치 제조업 외 3 종,"26295, 26299, 26321, 26329","DVD Loader, 차량용 전자부품, LCD Panel",031-697-3500,13510,경기도 성남시 분당구 판교로 744,경기도 성남시 분당구 야탑동 145번지 분당테크노파크C동 4층 401 외 2필지,37.40462453,127.1551398
라온피플(주),경기도 성남시,일반,391.136,298.31,15,소기업,20201019,도시지역 / 상업지역 / 근린상업지역,대,비디오 및 기타 영상기기 제조업 외 2 종,"26295, 26299, 26519",카메라모듈검사기,031-707-7054,13511,경기도 성남시 분당구 판교로 723,"경기도 성남시 분당구 야탑동 148번지 분당테크노파크B동 B동 104, 405, 408, 409호",37.40563669,127.1529544
리틀핑거주식회사,경기도 성남시,일반,0,102.41,12,소기업,20200810,도시지역 / 상업지역 / 근린상업지역,대,포장용 플라스틱 성형용기 제조업,22232,"빨대컵용빨대, 대롱등",02-1666-2298,13511,경기도 성남시 분당구 판교로 697,경기도 성남시 분당구 야탑동 150번지 분당테크노파크 E동 7층 705호,37.40550474,127.1510002
아래스 주식회사,경기도 성남시,일반,195.835,123.55,13,소기업,20220328,도시지역 / 상업지역 / 근린상업지역,대,"탭, 밸브 및 유사장치 제조업 외 1 종","27215, 29133",볼밸브 및 압력조정기,031-708-2484,13510,경기도 성남시 분당구 판교로 744,경기도 성남시 분당구 야탑동 145번지 분당테크노파크 C동 3층 307호,37.40462453,127.1551398
아크로랩스(주),경기도 성남시,일반,713.6,527.28,16,소기업,20221101,도시지역 / 상업지역 / 근린상업지역,"대, 대, 대, 대",그 외 기타 전기장비 제조업,28909,"수전해 장치, 고분자 연료전지",031-706-1181,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 5층 506호 외 3필지,37.4038895,127.1503976
아포에스앤에스(주),경기도 성남시,일반,301.82,14.8,4,소기업,20180725,도시지역 / 상업지역 / 근린상업지역,대,농업 및 임업용 기계 제조업,29210,컨베이어류,031-603-7745,13516,경기도 성남시 분당구 판교로 700,"경기도 성남시 분당구 야탑동 151번지 분당테크노파크E동 304,304-1호",37.4041366,127.1516619
에이치디씨랩스 주식회사,경기도 성남시,일반,0,405.84,8,소기업,20220419,도시지역 / 상업지역 / 일반상업지역,공장용지,전구 및 램프 제조업 외 14 종,"26410, 26429, 26511, 26519, 27215, 28410, 28421, 28422, 28423, 28429, 28901, 29172, 29180, 29199, 31202","LED램프,소방전기시스템, 자동제어장치",ARS-1800-1909,13516,경기도 성남시 분당구 판교로 700,"경기도 성남시 분당구 야탑동 151번지 분당테크노파크E동 609, 609-1호",37.4041366,127.1516619
엔디텍글로벌,경기도 성남시,일반,0,131,3,소기업,20190129,도시지역 / 녹지지역 / 자연녹지지역,대,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,"33999, 71511",스쿠버다이빙 용품 및 안전용품,031-708-0566,13515,경기도 성남시 분당구 판교로610번길 5,경기도 성남시 분당구 야탑동 405-4번지 승덕빌딩 지층,37.40705897,127.1402586
엘코퍼레이션(주),경기도 성남시,일반,15915.2,160.53,17,소기업,20200731,도시지역 / 상업지역 / 근린상업지역,대,디지털 적층 성형기계 제조업 외 1 종,"29222, 33932",3D프린터,031-261-7330,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148번지 분당테크노파크 B동 3층 305-1호,37.40563669,127.1529544
플라워키퍼,경기도 성남시,일반,122,82.5,2,소기업,20050314,도시지역 / 주거지역 / 제1종일반주거지역,대,산업용 냉장 및 냉동 장비 제조업,29171,꽃냉장고,031-781-3957,13571,,경기도 성남시 분당구 이매동 334-1번지 베스티아6차,37.39026518,127.1369385
(사)한국장애인미래정책포럼 아이티사업단,경기도 성남시,일반,603.12,447.3,17,소기업,20230531,도시지역 / 상업지역 / 근린상업지역,대,유선 통신장비 제조업 외 5 종,"26299, 26410, 26421, 26521, 28423, 28903","CCTV, 구내방송장치, 차량검지기, 통신장비, 전광판",031-698-2452,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 6층 605호,37.4038895,127.1503976
(주)GES,경기도 성남시,일반,450,61,14,소기업,20080218,도시지역 / 상업지역 / 근린상업지역,대,유선 통신장비 제조업,26410,"인터폰, 유선전신장치",031-752-9844,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 E동 7층 10호,37.4041366,127.1516619
(주)SWC,경기도 성남시,일반,100.5,50.5,17,소기업,20140709,도시지역 / 상업지역 / 중심상업지역,대,시계 및 시계부품 제조업,27400,손목시계,031-789-2993,13497,경기도 성남시 분당구 야탑로69번길 18,경기도 성남시 분당구 야탑동 353-2번지 동아프라자 403호,37.4116142,127.1267783
(주)간판119,경기도 성남시,일반,275.37,148.6,12,소기업,20200925,도시지역 / 상업지역 / 근린상업지역,대,간판 및 광고물 제조업 외 1 종,"25994, 33910","간판(채널간판, 표지판, 실사등)",031-759-9890,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크D동 807-3호,37.4041366,127.1516619
(주)고그린라이프,경기도 성남시,일반,1208.02,297.8,18,소기업,20210729,도시지역 / 상업지역 / 근린상업지역,"대, 대, 대, 대, 대, 대, 대, 대, 대, 대, 대, 대",그 외 기타 플라스틱 제품 제조업,22299,젖병제조(플라스틱제),031-781-9024,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 외 11필지 분당테크노파크E동 E동 504호,37.4041366,127.1516619
(주)골프코리아,경기도 성남시,일반,510,36,13,소기업,20181019,도시지역 / 상업지역 / 근린상업지역,대,기타 운동 및 경기용구 제조업,33309,골프채,031-781-2031,13522,경기도 성남시 분당구 야탑로 26,경기도 성남시 분당구 야탑동 537-3번지 한국골프회관 1층,37.40859709,127.1218892
(주)구정덴텍,경기도 성남시,일반,149.1,149.1,4,소기업,20010130,도시지역 / 상업지역 / 근린상업지역,대,의료용품 및 기타 의약 관련제품 제조업,21300,치과재료,031-704-2208,13511,경기도 성남시 분당구 판교로 697,경기도 성남시 분당구 야탑동 150번지 분당테크노파크 A동 609호,37.40550474,127.1510002
